Graph,Algorithm,Vertices,Running time,Max flow
Fixed,Scaling Max flow,8,4,49
Fixed,FordFulkerson,8,1,49
Fixed,PreflowPush,8,18,49
Fixed,Scaling Max flow,11,5,33
Fixed,FordFulkerson,11,2,33
Fixed,PreflowPush,11,20,33
Fixed,Scaling Max flow,14,6,27
Fixed,FordFulkerson,14,4,27
Fixed,PreflowPush,14,11,27
Fixed,Scaling Max flow,17,7,24
Fixed,FordFulkerson,17,5,24
Fixed,PreflowPush,17,15,24
Fixed,Scaling Max flow,20,10,44
Fixed,FordFulkerson,20,4,44
Fixed,PreflowPush,20,52,44
Fixed,Scaling Max flow,23,9,21
Fixed,FordFulkerson,23,7,21
Fixed,PreflowPush,23,20,21
Fixed,Scaling Max flow,26,18,42
Fixed,FordFulkerson,26,10,42
Fixed,PreflowPush,26,20,42
Fixed,Scaling Max flow,29,11,16
Fixed,FordFulkerson,29,7,16
Fixed,PreflowPush,29,91,16
Fixed,Scaling Max flow,32,6,23
Fixed,FordFulkerson,32,2,23
Fixed,PreflowPush,32,80,23
Bipartite,Scaling Max flow,14,12,175
Bipartite,FordFulkerson,14,13,175
Bipartite,PreflowPush,14,8,175
Bipartite,Scaling Max flow,20,16,132
Bipartite,FordFulkerson,20,13,132
Bipartite,PreflowPush,20,25,132
Bipartite,Scaling Max flow,26,22,279
Bipartite,FordFulkerson,26,17,279
Bipartite,PreflowPush,26,27,279
Bipartite,Scaling Max flow,32,27,395
Bipartite,FordFulkerson,32,26,395
Bipartite,PreflowPush,32,22,395
Bipartite,Scaling Max flow,8,5,47
Bipartite,FordFulkerson,8,3,47
Bipartite,PreflowPush,8,5,47
Bipartite,Scaling Max flow,17,13,151
Bipartite,FordFulkerson,17,11,151
Bipartite,PreflowPush,17,11,151
Bipartite,Scaling Max flow,23,20,243
Bipartite,FordFulkerson,23,11,243
Bipartite,PreflowPush,23,48,243
Bipartite,Scaling Max flow,28,37,264
Bipartite,FordFulkerson,28,23,264
Bipartite,PreflowPush,28,106,264
Bipartite,Scaling Max flow,11,9,66
Bipartite,FordFulkerson,11,3,66
Bipartite,PreflowPush,11,18,66
Fixed,Scaling Max flow,502,4968,6276
Fixed,FordFulkerson,502,11017,6276
Fixed,Scaling Max flow,8,6,47
Fixed,FordFulkerson,8,2,47
Fixed,PreflowPush,8,5,47
Fixed,Scaling Max flow,502,5168,6276
Fixed,FordFulkerson,502,10551,6276
Fixed,Scaling Max flow,752,19400,9267
Fixed,FordFulkerson,752,40819,9267
Fixed,Scaling Max flow,1002,69007,12741
Fixed,FordFulkerson,1002,135587,12741
Fixed,Scaling Max flow,602,8765,7655
Fixed,FordFulkerson,602,19715,7655
